text,label
wanted wish happy new year wanted talk legal advice gary split person make trip ptbo hope everything good babe love ya,ham
nothing u dinner w u,ham
wil reach,ham
hiya comin bristol st week april le got rudi new yr eve snoring drunk u bak college yet work sends ink bath,ham
hi way u day normal way real ur unique hope know u rest mylife hope u find wot lost,ham
course make stink,ham
mode men left,ham
ya cant display internal sub gotta extract,ham
win newest harry potter order phoenix book reply harry answer question chance first among reader,spam
wan early lei outside wun b home early neva mind,ham
hey tell blake address carlos wanted meet got lost answering phone,ham
morning ok,ham
hey missed tm last night phone charge smile meeting friend shortly,ham
hi dis yijue would happy work wif gek,ham
haha friend tyler literally asked could get dubsack,ham
come medical college pm forward da,ham
k k going tirunelvali week see uncle already spend amount taking dress want money give feb,ham
dun need use dial juz open da browser n surf,ham
pls tell nelson bb longer comin money expecting aint coming,ham
mila age blonde new uk look sex uk guy u like fun text mtalk pp txt st free increment help,spam
dear free message without recharge hi hi hi,ham
sorry roommate took forever ok come,ham
sure night menu know noon menu,ham
hour went hair cut,ham
excellent thought misundrstud frnd knw u hate bt day wen u knw truth u hate urself gn,ham
please dont say like hi hi hi,ham
really quite funny lor wat u shd haf run shorter distance wat,ham
aiyo u always c ex one dunno abt mei reply first time u reply fast lucky workin huh got bao ur sugardad ah gee,ham
today accept day u accept brother sister lover dear best clos lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply mean enemy,ham
reach ur home lt gt minute,ham
place want da,ham
actually decided hungry left yet v,ham
sea lay rock rock envelope envelope paper paper word,ham
make lasagna vodka,ham
r home come within min,ham
msg r time pas silently say thinking u right also making u think least moment gd nt swt drms shesil,ham
yup shd haf ard page add figure got many page,ham
much buzy,ham
ur cash balance currently pound maximize ur cash send go p msg cc po box tcr w,spam
thanks talk saturday dear cherish brother role model,ham
prize go another customer c www c biz p min polo ltd suite london w j hl please call back busy,spam
searching good dual sim mobile pa,ham
one slice one breadstick lol,ham
sound like many talent would like go dinner date next week,ham
goodmorning today late lt decimal gt min,ham
hey girl r u hope u r well del r bak long time c give call sum time lucyxx,ham
thanks sending mental ability question,ham
laid airtel line rest,ham
gud gud k chikku tke care sleep well gud nyt,ham
da stupid da always sending like believe message pandy mental,ham
lt gt buck bank fee fixed better call bank find,ham
management puzzeles,ham
parent kidz friend n colleague screaming surprise waiting sofa naked,ham
happy new year hope good semester,ham
uncle abbey happy new year abiola,ham
urgent please call landline abta complimentary tenerife holiday cash await collection sae c box cw wx ppm,spam
happy babe woo hoo party dude,ham
well know mean texting,ham
u secret admirer looking make contact u find r reveal think ur special call,spam
send new number,ham
problem renewal right away dont know detail,ham
hi da today class,ham
happy come noon,ham
meant middle left right,ham
nope c,ham
good afternoon love job prospect missing lazy bleak hmmm happy filled love,ham
latest g still scrounge ammo want give new ak try,ham
well available washob nobbing last night ask nickey platt instead,ham
u receive msg,ham
congratulation ur awarded either cd gift voucher free entry weekly draw txt music tncs www ldew com win ppmx age,spam
multiply number independently count decimal point division push decimal place like showed,ham
okie,ham
long since screamed princess,ham
urgent call landline complimentary tenerife holiday cash await collection sae c box hp yf ppm,spam
double min double txt price linerental latest orange bluetooth mobile call mobileupd latest offer call optout lf,spam
two team waiting player,ham
meeting call later,ham
ok u tell wat time u coming later lor,ham
tell bad character u dnt lik try change lt gt add tat new year resolution waiting ur reply frank good morning,ham
urgent mobile awarded bonus caller prize nd attempt contact call box qu bt national rate,spam
nope wif si lor aft bathing dog bathe look like going rain soon,ham
made payment dont much sorry would want fedex way,ham
trouble class go well due dodgey one expecting mine tomo see recovery time place,ham
hot live fantasy call p per min ntt ltd po box croydon cr wb k,spam
send logo ur lover name joined heart txt love name name mobno eg love adam eve yahoo pobox w wq txtno ad p,spam
ask princess,ham
dare ask luck sorting car,ham
many thing antibiotic used chest abdomen gynae infection even bone infection,ham
urgent trying contact u today draw show prize guaranteed call land line claim valid hr,spam
famous quote develop ability listen anything unconditionally without losing temper self confidence mean married,ham
huh cant thk oredi many page,ham
u knw dis lt gt,ham
want custom officer discount oh,ham
number sir,ham
howz pain hope u r fine,ham
house maid murderer coz man murdered lt gt th january public holiday govt instituitions closed including post office understand,ham
yes know cheesy song frosty snowman,ham
open rebtel firefox load put plus sign user name place show two number lower number number pick number pin display okay,ham
omw back tampa west palm hear happened,ham
dude go sup,ham
freemsg hey buffy love satisfy men home alone feeling randy reply c pix qlynnbv help p msg send stop stop txts,spam
urgh coach hot smell chip fat thanks especially duvet predictive text word,ham
happy birthday may u find ur prince charming soon n dun work hard,ham
actually first time went bed long spoke woke night,ham
know msg recently,ham
wait inside da car park,ham
yes office da,ham
ya well fine bbd pooja full pimple even become quite black ur rite cold wearing sweatter,ham
bookedthe hut also time way,ham
ok day making dinner tonite invited,ham
press conference da,ham
raji pls favour pls convey birthday wish nimya pls today birthday,ham
want come online,ham
sexy sexy cum text im wet warm ready porn u fun msg free recd msg p inc vat cancel text stop,spam
record one night,ham
mobile month u r entitled update latest colour mobile camera free call mobile update co free,spam
said matter mind saying matter,ham
back brum thanks putting u keeping u happy see soon,ham
hi mandy sullivan calling hotmix fm chosen receive easter prize draw please telephone claim prize transferred someone else,spam
rushing working school rush go hungry,ham
bluray player,ham
hex place talk explain,ham
evry emotion dsn hav word evry wish dsn hav prayrs u smile world wit u othrwise even drop tear dsn lik stay wit u b happy good morning keep smiling,ham
ok darlin supose ok worry much film stuff mate babysit call xx,ham
diet ate many slice pizza yesterday ugh always diet,ham
auction round highest bid next maximum bid bid send bid e g bid good luck,spam
